Institution Name,Product Name,State,Annual Fee,Rewards,is_student,accepts_itin,Reward_Type
"Bank Of America, National Association",Air France KLM World Elite Mastercard,,89,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
"Bank Of America, National Association",Free Spirit Travel More World Elite Mastercard,,79,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
"Bank Of America, National Association",Bank of America Customized Cash Rewards - Secured,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Bank Of America, National Association",Bank of America Unlimited Cash Rewards - Secured,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Bank Of America, National Association",BankAmericard - Secured,,,,FALSE,FALSE,General
"Bank Of America, National Association",Bank of America Travel Rewards - Secured,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Barnes & Noble Mastercard,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,UPromise World Mastercard,,,Cashback rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,AARP Travel Rewards Mastercard from Barclays,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,AARP Essential Rewards Mastercard from Barclays,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,AAdvantage Aviator Red World Elite Mastercard,,99,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Mastercard Titanium Card,,195,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,Mastercard Black Card,,495,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,Mastercard Gold Card,,995,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,Frontier Airlines Mastercard,,99,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Hawaiian World Elite Mastercard,,99,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,JetBlue Plus Mastercard,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,JetBlue Mastercard,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,JetBlue Plus Mastercard,,99,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,JetBlue Premier Mastercard,,500,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,JetBlue Travel Mastercard,,59,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Emirates Skywards Rewards World Elite Mastercard,,99,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Emirates Skywards Premium World Elite Mastercard,,499,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Miles & More World Elite Mastercard,,89,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Holland America Line Rewards Visa Card,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Princess Cruises Rewards Visa Card,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Carnival World Mastercard,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Wyndham Rewards Earner® Card,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Wyndham Rewards Earner® Access Card,,,Travel-related rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Wyndham Rewards Earner® Plus Card,,75,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Wyndham Rewards Earner®  Card,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Bluegreen Rewards Mastercard,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,RCI® Elite Rewards® Mastercard®,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,Breeze Easy Visa Signature,,89,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Barclays Bank Delaware,Mastercard - Platinum,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,Capital Vacations World Mastercard,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Barclays Bank Delaware,GM Rewards Mastercard,,,,FALSE,FALSE,General
Barclays Bank Delaware,Athleta Rewards Mastercard,,,Other rewards,FALSE,FALSE,General
Barclays Bank Delaware,Banana Republic Rewards Mastercard,,,Other rewards,FALSE,FALSE,General
Barclays Bank Delaware,Gap Good Rewards Mastercard,,,Other rewards,FALSE,FALSE,General
Barclays Bank Delaware,Navyist Rewards MasterCard Platinum,,,Other rewards,FALSE,FALSE,General
Baxter Credit Union,Travel Rewards Visa Signature,,,Travel-related rewards,FALSE,FALSE,Travel
Blucurrent Credit Union,BluCurrent Classic Card,MO,,,FALSE,FALSE,General
Blucurrent Credit Union,BluCurrent Platinum Card,MO,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Bluestone Federal Credit Union,Visa Classic Credit Card,,,,FALSE,FALSE,General
"Bmo Bank, N.A.",Cash Back Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
Boeing Employees Credit Union,BECU Traditional Secured Consumer Credit Card,,,Other rewards,FALSE,FALSE,General
Boeing Employees Credit Union,BECU Traditional Consumer Credit Card,,,,FALSE,FALSE,General
Boeing Employees Credit Union,BECU Cash Back Secured Consumer Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
Boeing Employees Credit Union,BECU Cash Back Consumer Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
Capital Credit Union,Capital Credit Union VISA Credit Card,ND,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",BJ's One Mastercard,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",BJ's One + Mastercard,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Kohl's Rewards Visa,,,Other rewards,FALSE,FALSE,General
Discover,Discover it® Cash Back Credit Card,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
